"","year","MSI","sd_MSI","lower_CL_MSI","upper_CL_MSI","Trend","lower_CL_trend","upper_CL_trend","trend_class"
"1",1998,95.71,0,95.71,95.71,100,98.12,102.12,"moderate_decline"
"2",1999,100.02,2.32,95.59,104.66,100.95,99.1,103.15,"moderate_decline"
"3",2000,107.3,2.52,102.48,112.36,101.46,100.1,103.15,"moderate_decline"
"4",2001,106.54,2.37,101.98,111.29,101.45,100.1,103.15,"moderate_decline"
"5",2002,101.19,2.21,96.94,105.61,100.98,99.1,103.15,"moderate_decline"
"6",2003,95.43,2.17,91.28,99.78,100.2,98.12,102.12,"moderate_decline"
"7",2004,109.48,2.35,104.96,114.18,98.73,97.14,100.1,"moderate_decline"
"8",2005,90.73,2.04,86.83,94.81,96.65,95.22,98.12,"moderate_decline"
"9",2006,90.23,2.09,86.23,94.42,94.72,93.33,96.18,"moderate_decline"
"10",2007,99.41,2.22,95.15,103.85,93.25,91.48,95.22,"moderate_decline"
"11",2008,92.52,2.07,88.55,96.67,91.95,90.57,93.33,"moderate_decline"
"12",2009,84.85,1.86,81.28,88.57,90.67,88.78,92.4,"moderate_decline"
"13",2010,93.05,2.07,89.08,97.2,89.4,87.9,90.57,"moderate_decline"
"14",2011,88.27,1.94,84.54,92.16,88.11,86.16,89.67,"stable"
"15",2012,84.86,1.85,81.32,88.55,86.71,85.3,88.78,"stable"
"16",2013,90.3,1.9,86.67,94.08,84.94,83.61,86.16,"stable"
"17",2014,85.57,1.95,81.83,89.48,83.16,81.95,84.45,"stable"
"18",2015,76.69,2.03,72.81,80.78,82.09,80.33,83.61,"stable"
"19",2016,76.69,1.74,73.36,80.18,81.76,80.33,82.78,"moderate_increase"
"20",2017,82.42,1.84,78.89,86.1,81.77,80.33,82.78,"moderate_increase"
"21",2018,79.21,1.96,75.45,83.16,82.26,81.14,83.61,"moderate_increase"
"22",2019,82.96,1.75,79.6,86.47,83.31,81.14,85.3,"moderate_increase"
"23",2020,88.85,1.85,85.31,92.54,84.87,82.78,87.02,NA
