"","group","year","Estimate","Std..Error"
"x_pred","g1",1998,-0.0879323849587934,0.0855736806093406
"x_pred.1","g2",1998,-0.244406700768727,0.499808217738574
"x_pred.2","g1",1999,-0.0792623326464721,0.0706371961895928
"x_pred.3","g2",1999,-0.0931389649520496,0.457459674693362
"x_pred.4","g1",2000,-0.0153738737134153,0.0451421744576952
"x_pred.5","g2",2000,-0.213989982532102,0.388168042746578
"x_pred.6","g1",2001,-0.0231404965401145,0.0458195851882203
"x_pred.7","g2",2001,-0.169626864086654,0.363311379192882
"x_pred.8","g1",2002,0.0356935210748606,0.0324758039942896
"x_pred.9","g2",2002,-0.177410279003543,0.314257076705727
"x_pred.10","g1",2003,0.0114328019071506,0.0424382656128289
"x_pred.11","g2",2003,-0.0101016619583786,0.278130134902595
"x_pred.12","g1",2004,0.102986833412535,0.0382005826407152
"x_pred.13","g2",2004,-0.0158797650929085,0.336168884720893
"x_pred.14","g1",2005,-0.0155504338820681,0.0568250549185723
"x_pred.15","g2",2005,0.103017965768066,0.273714652531138
"x_pred.16","g1",2006,-0.024542022523631,0.0254556884937704
"x_pred.17","g2",2006,-0.147907355383833,0.334819531791657
"x_pred.18","g1",2007,0.0479801514726259,0.0729596256812556
"x_pred.19","g2",2007,0.246137886683709,0.336894266952651
"x_pred.20","g1",2008,0.0111480178652382,0.0489015238644908
"x_pred.21","g2",2008,0.138638506302951,0.2676201874584
"x_pred.22","g1",2009,0.00223148475093282,0.0344676573292406
"x_pred.23","g2",2009,0.0680240917719566,0.202670906122775
"x_pred.24","g1",2010,0.0273612346654448,0.0446582191744984
"x_pred.25","g2",2010,-0.137947770482493,0.172951050030368
"x_pred.26","g1",2011,-0.00164683956515997,0.0497446211626874
"x_pred.27","g2",2011,-0.120194737688289,0.202626899211595
"x_pred.28","g1",2012,-0.0140856636370567,0.0388692861443321
"x_pred.29","g2",2012,0.154487847074495,0.233738728246132
"x_pred.30","g1",2013,-0.00494291356806517,0.054541328178489
"x_pred.31","g2",2013,-0.0730453631834701,0.203391281912117
"x_pred.32","g1",2014,-0.0201171709639977,0.0406790922951565
"x_pred.33","g2",2014,0.185825216487077,0.262281010239678
"x_pred.34","g1",2015,-0.05182267896845,0.0488549520553734
"x_pred.35","g2",2015,0.103899188324201,0.382598154535193
"x_pred.36","g1",2016,-0.0267741857014722,0.0519949065027623
"x_pred.37","g2",2016,0.154964031801153,0.384788616005719
"x_pred.38","g1",2017,-0.00377716406597604,0.0414385654736613
"x_pred.39","g2",2017,0.176476111324168,0.385606342188461
"x_pred.40","g1",2018,0.0166768160671362,0.0578095016526368
"x_pred.41","g2",2018,-0.0717592141513933,0.391561658986956
"x_pred.42","g1",2019,0.0450477788269838,0.0612772703319385
"x_pred.43","g2",2019,-0.0421130142060202,0.511867291874626
"x_pred.44","g1",2020,0.0684095206917643,0.0340697275731414
"x_pred.45","g2",2020,0.186050827952084,0.552010390398072
