"","Year","variable","value","se.value","rot_tr.value"
"1",1998,"X1",0,0,0
"2",1999,"X1",0.343830323348125,1.02824473790345,0.767501110576682
"3",2000,"X1",-1.70681305550481,2.43781654149804,-0.521881789496702
"4",2001,"X1",-1.44209297498845,2.2162407970165,-0.214134267519867
"5",2002,"X1",-2.25988048901521,2.60666201482128,0.0146555113847935
"6",2003,"X1",-1.14682673271435,2.46697404736477,1.17386917599734
"7",2004,"X1",-2.14782832708227,3.19928077374331,1.39827121128638
"8",2005,"X1",-0.369252628092274,2.34776330313327,1.96118315797149
"9",2006,"X1",-1.49096722411915,2.35114707831687,1.13830413660961
"10",2007,"X1",-0.347719977305887,3.27602022937003,3.35178634856106
"11",2008,"X1",-1.36295323156808,3.24387212693045,2.50264653632053
"12",2009,"X1",-1.79312150663399,2.95382060314178,2.3610408400109
"13",2010,"X1",-3.17228915231621,2.62826736682821,1.60196994305904
"14",2011,"X1",-2.81690409262501,2.46607209039978,1.90936369510345
"15",2012,"X1",-2.12142908335395,3.02948193801539,3.44992871070394
"16",2013,"X1",-3.42533656252354,2.92129297047216,1.94361277690142
"17",2014,"X1",-2.80765742582852,3.49573118048222,2.92346552752845
"18",2015,"X1",-3.36932562765657,3.55691314371207,2.31328216778044
"19",2016,"X1",-3.49122100294949,3.81191764411165,2.62404526222982
"20",2017,"X1",-3.45724094110032,3.72501924685136,2.99811071554518
"21",2018,"X1",-4.26244773119498,3.20017401052052,1.75775749786668
"22",2019,"X1",-4.41469920164984,3.55931735932297,2.17765835757023
"23",2020,"X1",-3.72571558559788,4.07055791063434,3.40570392881268
"24",1998,"X2",0,0,0
"25",1999,"X2",1.0890525064443,0.658721116207453,1.25591165355722
"26",2000,"X2",1.87680790479095,1.25828405988804,2.22670180957464
"27",2001,"X2",1.80241955551683,1.19104548191083,2.13729185169818
"28",2002,"X2",2.11208829435323,1.52928857423442,3.32127115089811
"29",2003,"X2",2.4381826600341,1.12098189883211,3.67562398167679
"30",2004,"X2",1.39555847997372,1.47242689649012,3.63603520926599
"31",2005,"X2",2.87007484723008,1.01567320156851,4.06538611461615
"32",2006,"X2",4.73491993202845,1.26165716336792,6.60069221371043
"33",2007,"X2",3.54141727850296,1.35664979390358,5.99063776460306
"34",2008,"X2",4.91373679656312,1.41738192796194,7.03741476328837
"35",2009,"X2",5.26301242911267,1.54660686774774,7.61195424026581
"36",2010,"X2",4.46860103454824,1.96108828975238,7.36448623398929
"37",2011,"X2",4.24460652152321,1.79086291149362,7.05666020760802
"38",2012,"X2",5.34672434984885,1.68130270631139,8.28374612893477
