"","code_sp","variable","value","se.value","name_long"
"1","ACCNIS","X1",-0.0542499408212758,NA,"Accipiter nisus"
"2","ACCNIS","X2",0.0145048566416779,NA,"Accipiter nisus"
"3","ACCNIS","X3",-0.00674543877935618,NA,"Accipiter nisus"
"4","ACCNIS","X4",-0.0367014651070174,NA,"Accipiter nisus"
"5","ACCNIS","X5",0.0172097087936195,NA,"Accipiter nisus"
"6","ALAARV","X1",0.0108200108395344,NA,"Alauda arvensis"
"7","ALAARV","X2",-0.0462710594537429,NA,"Alauda arvensis"
"8","ALAARV","X3",0.00799920730020464,NA,"Alauda arvensis"
"9","ALAARV","X4",-0.0178524340615747,NA,"Alauda arvensis"
"10","ALAARV","X5",-0.00292109723121019,NA,"Alauda arvensis"
"11","ANTPRA","X1",0.0122509907759936,NA,"Anthus pratensis"
"12","ANTPRA","X2",-0.0627849960234158,NA,"Anthus pratensis"
"13","ANTPRA","X3",-0.086033903652411,NA,"Anthus pratensis"
"14","ANTPRA","X4",-0.0752080645447633,NA,"Anthus pratensis"
"15","ANTPRA","X5",0.0188065741984953,NA,"Anthus pratensis"
"16","ANTTRI","X1",0.00457820754042309,NA,"Anthus trivialis"
"17","ANTTRI","X2",0.00659522862008075,NA,"Anthus trivialis"
"18","ANTTRI","X3",-0.000748698976714222,NA,"Anthus trivialis"
"19","ANTTRI","X4",-0.0579724011729855,NA,"Anthus trivialis"
"20","ANTTRI","X5",0.00294332182977052,NA,"Anthus trivialis"
"21","CERFAM","X1",0.110199314978872,NA,"Certhia familiaris"
"22","CERFAM","X2",-0.0313207649297782,NA,"Certhia familiaris"
"23","CERFAM","X3",-0.0401803964904108,NA,"Certhia familiaris"
"24","CERFAM","X4",0.0331166692566448,NA,"Certhia familiaris"
"25","CERFAM","X5",0.0349818666298881,NA,"Certhia familiaris"
"26","COCCOC","X1",-0.0349730648243679,NA,"Coccothraustes coccothraustes"
"27","COCCOC","X2",0.0618688043230857,NA,"Coccothraustes coccothraustes"
"28","COCCOC","X3",-0.127369500486544,NA,"Coccothraustes coccothraustes"
"29","COCCOC","X4",-0.0295833277044048,NA,"Coccothraustes coccothraustes"
"30","COCCOC","X5",0.0548632954243958,NA,"Coccothraustes coccothraustes"
"31","COLOEN","X1",-0.0241913306199178,NA,"Columba oenas"
"32","COLOEN","X2",0.0363303579554573,NA,"Columba oenas"
"33","COLOEN","X3",-0.0089983953941921,NA,"Columba oenas"
"34","COLOEN","X4",-0.129853750015307,NA,"Columba oenas"
"35","COLOEN","X5",-0.00891970466654813,NA,"Columba oenas"
"36","CORFRU","X1",-0.177913688403103,NA,"Corvus frugilegus"
"37","CORFRU","X2",0.0303170828404749,NA,"Corvus frugilegus"
"38","CORFRU","X3",-0.0387986963471259,NA,"Corvus frugilegus"
"39","CORFRU","X4",-0.0498192539597413,NA,"Corvus frugilegus"
"40","CORFRU","X5",-0.00777131563664547,NA,"Corvus frugilegus"
"41","DENMAJ","X1",0.177985229060689,NA,"Dendrocopos major"
"42","DENMAJ","X2",-0.00784154409419343,NA,"Dendrocopos major"
"43","DENMAJ","X3",0.0337855136522879,NA,"Dendrocopos major"
"44","DENMAJ","X4",-0.018853636445938,NA,"Dendrocopos major"
"45","DENMAJ","X5",-0.012491467876011,NA,"Dendrocopos major"
"46","DRYMAR","X1",0.0488753691710347,NA,"Dryocopus martius"
