"","group","year","Estimate","Std..Error"
"x_pred","g1",1998,0.0820601475601889,0.0789316060123312
"x_pred.1","g2",1998,0.115650482217678,0.186650590835476
"x_pred.2","g1",1999,0.118389341607511,0.0910155187176189
"x_pred.3","g2",1999,0.0221323675688191,0.292710702139747
"x_pred.4","g1",2000,0.151144597405912,0.0770740197533651
"x_pred.5","g2",2000,0.0232979053593109,0.482013058401102
"x_pred.6","g1",2001,0.147773195721202,0.0907159370230582
"x_pred.7","g2",2001,-0.0521441217238783,0.528414711123382
"x_pred.8","g1",2002,0.163081613845652,0.0779849381822975
"x_pred.9","g2",2002,-0.0647422986049769,0.666017856066372
"x_pred.10","g1",2003,0.136088394163279,0.0439527187247055
"x_pred.11","g2",2003,-0.0333072072111611,0.541765184645772
"x_pred.12","g1",2004,0.132978374078717,0.075196763249972
"x_pred.13","g2",2004,0.265174541855472,0.391199584427968
"x_pred.14","g1",2005,0.0906879412299001,0.0517247883858533
"x_pred.15","g2",2005,-0.0430954429446779,0.261407571059985
"x_pred.16","g1",2006,0.0470695454618656,0.0536426600639444
"x_pred.17","g2",2006,-0.103311764194028,0.229063207868046
"x_pred.18","g1",2007,0.0783214505915532,0.0728160599429627
"x_pred.19","g2",2007,0.0454304170116267,0.190653946875577
"x_pred.20","g1",2008,0.0138465275228906,0.0593855746181871
"x_pred.21","g2",2008,-0.0893605273021359,0.103432339484299
"x_pred.22","g1",2009,-0.0288821579034574,0.0514566782247809
"x_pred.23","g2",2009,-0.109194229959794,0.164916001599893
"x_pred.24","g1",2010,-0.0186054588978926,0.0500992851242096
"x_pred.25","g2",2010,0.0375222327891692,0.0563720905861035
"x_pred.26","g1",2011,-0.0258406970042648,0.063499416567778
"x_pred.27","g2",2011,0.0706384622907234,0.0576251554677672
"x_pred.28","g1",2012,-0.0581769765903263,0.0559107006272602
"x_pred.29","g2",2012,-0.0707960857724882,0.0894959584317233
"x_pred.30","g1",2013,-0.0766663118307616,0.101440489010368
"x_pred.31","g2",2013,0.0569824874256245,0.145287008972592
"x_pred.32","g1",2014,-0.113653280694572,0.0358525049907831
"x_pred.33","g2",2014,-0.106453947786861,0.353913680344104
"x_pred.34","g1",2015,-0.148014569138531,0.0563496178995633
"x_pred.35","g2",2015,-0.087679164138969,0.372961075976694
"x_pred.36","g1",2016,-0.145126677875097,0.0423871321823691
"x_pred.37","g2",2016,-0.0878166894486935,0.467308846824394
"x_pred.38","g1",2017,-0.143223157865746,0.0443180667073375
"x_pred.39","g2",2017,-0.0879333000232411,0.460426209962999
"x_pred.40","g1",2018,-0.161345314807756,0.0488209747975863
"x_pred.41","g2",2018,0.0641681459998645,0.622242152181245
"x_pred.42","g1",2019,-0.138452557437657,0.0689962342416318
"x_pred.43","g2",2019,0.124542707654097,0.542394661943217
"x_pred.44","g1",2020,-0.10345396914261,0.0702442558229296
"x_pred.45","g2",2020,0.110295028938522,0.485630204799603
