"","group","year","Estimate","Std..Error"
"x_pred","g1",1998,-0.296155839866199,0.286801580681911
"x_pred.1","g2",1998,-0.162051872709574,0.0473004000665781
"x_pred.2","g1",1999,-0.135511644165456,0.252222771789036
"x_pred.3","g2",1999,-0.121648591769039,0.0469927203746404
"x_pred.4","g1",2000,-0.177794625980481,0.244335827145399
"x_pred.5","g2",2000,-0.123565691433879,0.044563328015717
"x_pred.6","g1",2001,-0.210572597243151,0.229203041710017
"x_pred.7","g2",2001,-0.123269378518632,0.0391102420984269
"x_pred.8","g1",2002,-0.147691154688675,0.139926126744086
"x_pred.9","g2",2002,-0.0665312567030474,0.0249246636338759
"x_pred.10","g1",2003,-0.0170543019244136,0.134246157810058
"x_pred.11","g2",2003,-0.0466890166546378,0.0260799751003798
"x_pred.12","g1",2004,0.0612288894588983,0.106720321056531
"x_pred.13","g2",2004,0.0118616092846738,0.0158474837963558
"x_pred.14","g1",2005,0.0160582191533621,0.147234226230571
"x_pred.15","g2",2005,-0.0442599097124232,0.0282330465162066
"x_pred.16","g1",2006,-0.1682441209991,0.130536426087832
"x_pred.17","g2",2006,-0.0448968087107195,0.0183317754135521
"x_pred.18","g1",2007,0.335773991261629,0.156314436612358
"x_pred.19","g2",2007,0.0463266531294229,0.0308075557578948
"x_pred.20","g1",2008,0.114901221645955,0.113343691463443
"x_pred.21","g2",2008,0.0167694360258581,0.0180558602880417
"x_pred.22","g1",2009,0.0543903614765786,0.107294425136926
"x_pred.23","g2",2009,0.0188607527196606,0.0141407963260133
"x_pred.24","g1",2010,-0.110901324505189,0.163726529013168
"x_pred.25","g2",2010,0.0357548421117806,0.0309884104904866
"x_pred.26","g1",2011,-0.115736064799027,0.146505878305415
"x_pred.27","g2",2011,0.0325074359359454,0.0319345153029899
"x_pred.28","g1",2012,0.19705725767917,0.124684719480151
"x_pred.29","g2",2012,0.0776045421828955,0.0184157603008632
"x_pred.30","g1",2013,-0.0351973632849566,0.110996843684505
"x_pred.31","g2",2013,0.0335384992763283,0.0241273584175152
"x_pred.32","g1",2014,0.169689584996871,0.114322294837034
"x_pred.33","g2",2014,0.0494347996833551,0.0175333069628607
"x_pred.34","g1",2015,0.0726459921815313,0.15594640758616
"x_pred.35","g2",2015,0.0234301404911859,0.0212873958231518
"x_pred.36","g1",2016,0.184224477994097,0.179034338573123
"x_pred.37","g2",2016,0.0477771398917128,0.0234811607131699
"x_pred.38","g1",2017,0.212451766483728,0.198781348947227
"x_pred.39","g2",2017,0.0807238006627883,0.0292118119730779
"x_pred.40","g1",2018,-0.127136394543611,0.214927253105195
"x_pred.41","g2",2018,0.0448136818482025,0.045385154432715
"x_pred.42","g1",2019,-0.0456837760189998,0.267178561436867
"x_pred.43","g2",2019,0.086534327345111,0.0548838583467377
"x_pred.44","g1",2020,0.169257445687436,0.290583962607835
"x_pred.45","g2",2020,0.12697486562303,0.0522988325007407
