"","Year","variable","value","se.value","rot_tr.value"
"1",1998,"X1",0,0,0
"2",1999,"X1",0.564092316193525,0.582879160961754,0.820448218042611
"3",2000,"X1",0.291722567609824,0.654032504296783,0.58606121540897
"4",2001,"X1",-0.00279275673588309,0.627186652849597,0.128624314028721
"5",2002,"X1",-0.357062977758345,1.11106536210917,0.393869288156025
"6",2003,"X1",0.212592358957583,1.1403984614215,0.741699463917775
"7",2004,"X1",-0.185319454043065,1.66002335502515,0.494771098316054
"8",2005,"X1",0.356319894048271,1.08645985020867,0.659081721754999
"9",2006,"X1",-0.765022020939065,1.38623113307336,0.443811925731888
"10",2007,"X1",1.35827181858656,1.85406449145237,2.38245785623579
"11",2008,"X1",0.130479916398792,1.65184210289257,0.811568606207696
"12",2009,"X1",-0.369264765110445,1.72644215373652,0.272652119921348
"13",2010,"X1",-1.930734876088,2.05362523449238,-1.39859064599003
"14",2011,"X1",-2.03641613966341,1.97800249282778,-1.96993514731007
"15",2012,"X1",-0.638155054447867,2.0689992392796,-1.13197509791175
"16",2013,"X1",-1.70679167164936,1.84814168458649,-2.57891125957296
"17",2014,"X1",-0.759925042142022,1.79650420630621,-2.76465702306141
"18",2015,"X1",-1.21992501482105,1.73029560143323,-3.92202269637052
"19",2016,"X1",-0.906176396347277,1.89988647352873,-3.957520912584
"20",2017,"X1",-1.23801213289147,2.15870829029808,-4.16605396242368
"21",2018,"X1",-2.99279677834842,2.12944105227094,-5.34364262747216
"22",2019,"X1",-3.10970508855078,2.44185420278573,-5.44643059088886
"23",2020,"X1",-2.38311553678658,2.63217648039403,-5.35883157841086
"24",1998,"X2",0,0,0
"25",1999,"X2",-0.877623079357285,0.565417062397821,-0.735931570642714
"26",2000,"X2",-0.955350953239339,0.615894250801779,-0.835435637557953
"27",2001,"X2",-1.06684709612173,0.594649484545422,-1.05918931615289
"28",2002,"X2",-2.86099948126744,0.696615833529951,-2.71392439769088
"29",2003,"X2",-3.09864152895359,0.7555443553292,-2.98520592076305
"30",2004,"X2",-4.8779315787297,0.906127899824588,-4.83083493572632
"31",2005,"X2",-3.05908391941766,0.818746231326025,-3.02268066956612
"32",2006,"X2",-3.70721217408631,0.883718145874456,-3.45387524036812
"33",2007,"X2",-5.17099963805282,1.13999260620363,-4.79389062253069
"34",2008,"X2",-4.8679663403204,1.00838626041788,-4.77994207854599
"35",2009,"X2",-5.14198330086401,1.07946919614772,-5.14654528280546
"36",2010,"X2",-6.27881036518977,1.45580612607592,-6.57996547831466
"37",2011,"X2",-6.15637921747066,1.54573716209635,-6.66505450674217
"38",2012,"X2",-6.63994135681342,1.33246035485025,-7.23344887081037
"39",2013,"X2",-5.86915840400055,1.42252076584398,-6.72546849920623
"40",2014,"X2",-5.66936183333623,1.27708226665703,-6.8821797328692
"41",2015,"X2",-5.05356109556324,1.31022813817799,-6.59582711067503
"42",2016,"X2",-5.50473753875261,1.32941074859915,-7.17740603310068
"43",2017,"X2",-6.56130319111805,1.48717507228234,-8.2710549571765
"44",2018,"X2",-6.48798916615546,1.88755385459628,-8.16946460416473
"45",2019,"X2",-7.66429362381229,2.06530716001357,-9.40783617621013
"46",2020,"X2",-8.31083782002757,2.00877678603325,-10.2655152589314
"47",1998,"X3",0,0,0
"48",1999,"X3",-0.379819712307026,0.820984282200944,-0.133995780934258
"49",2000,"X3",-0.337472764020977,1.02191066907816,-0.265075298840982
"50",2001,"X3",0.0970611576450614,1.06454243875367,-0.0957349084982047
"51",2002,"X3",-0.368723789148352,1.22403228487587,-0.963457618189701
"52",2003,"X3",-0.064175649536602,1.30641503263832,-0.435110176738926
"53",2004,"X3",0.352153251855788,1.5442350246293,-0.608939310313424
"54",2005,"X3",0.29821806087714,1.43598380518771,-0.0538995236284002
"55",2006,"X3",-0.819021487144702,1.50288826072334,-1.6950674886772
"56",2007,"X3",-0.695296839012348,1.77659907116232,-0.640378440238356
"57",2008,"X3",0.244780675559958,1.76758422386881,-0.517251390879624
"58",2009,"X3",0.567248079375358,1.87601085966248,-0.580389171338199
"59",2010,"X3",1.64099076250691,2.1584561236537,-0.769445225813023
"60",2011,"X3",2.50348737168909,2.20968091969159,-0.108851830216239
"61",2012,"X3",3.24860364410569,2.26464326170476,1.2022223351008
"62",2013,"X3",4.05319656011333,2.22407615600398,1.38052552240405
"63",2014,"X3",5.79222039382467,2.22557562771596,3.35577717182238
"64",2015,"X3",7.04344220755044,2.29852515502738,4.21302475837945
"65",2016,"X3",7.73649855016901,2.46935232860626,4.87848047152867
"66",2017,"X3",7.95200842936498,2.61938406950321,4.69589777840128
"67",2018,"X3",7.42205421572878,2.79680011394612,3.29287963779769
"68",2019,"X3",7.80955841483108,3.00476649663076,3.35110092725498
"69",2020,"X3",8.97097570024737,3.1150926884408,4.59671518910797
