name_long,code_sp,genus,species,class,order,family,iucnRedListCategory,name_long_en,name_long_se
Corvus frugilegus,CORFRU,Corvus,frugilegus,Aves,Passeriformes,Corvidae,LC,Rook,Råka
Chroicocephalus ridibundus,CHRRID,Chroicocephalus,ridibundus,Aves,Charadriiformes,Laridae,,Black-headed gull,Skrattmås
Gallinago gallinago,GALGAL,Gallinago,gallinago,Aves,Charadriiformes,Scolopacidae,LC,Common snipe,Enkelbeckasin
Prunella modularis,PRUMOD,Prunella,modularis,Aves,Passeriformes,Prunellidae,LC,Dunnock,Järnsparv
Vanellus vanellus,VANVAN,Vanellus,vanellus,Aves,Charadriiformes,Charadriidae,NT,Northern lapwing,Tofsvipa
Columba livia,COLLIV,Columba,livia,Aves,Columbiformes,Columbidae,LC,Rock dove,Klippduva
Troglodytes troglodytes,TROTRO,Troglodytes,troglodytes,Aves,Passeriformes,Troglodytidae,LC,Eurasian wren,Gärdsmyg
Phylloscopus trochilus,PHYTRU,Phylloscopus,trochilus,Aves,Passeriformes,Phylloscopidae,LC,Willow warbler,Lövsångare
Pica pica,PICPIC,Pica,pica,Aves,Passeriformes,Corvidae,LC,Eurasian magpie,Skata
Falco tinnunculus,FALTIN,Falco,tinnunculus,Aves,Falconiformes,Falconidae,LC,Common kestrel,Tornfalk
Pernis apivorus,PERAPI,Pernis,apivorus,Aves,Accipitriformes,Accipitridae,LC,European honey buzzard,Bivråk
Larus canus,LARCAN,Larus,canus,Aves,Charadriiformes,Laridae,LC,Common gull,Fiskmås
Parus major,PARMAJ,Parus,major,Aves,Passeriformes,Paridae,LC,Great tit,Talgoxe
Motacilla alba,MOTALB,Motacilla,alba,Aves,Passeriformes,Motacillidae,LC,White wagtail,Sädesärla
Phylloscopus collybita,PHYCOL,Phylloscopus,collybita,Aves,Passeriformes,Phylloscopidae,LC,Common chiffchaff,Gransångare
Sturnus vulgaris,STUVUL,Sturnus,vulgaris,Aves,Passeriformes,Sturnidae,LC,Common starling,Stare
Emberiza citrinella,EMBCIT,Emberiza,citrinella,Aves,Passeriformes,Emberizidae,LC,Yellowhammer,Gulsparv
Haematopus ostralegus,HAEOST,Haematopus,ostralegus,Aves,Charadriiformes,Haematopodidae,NT,Eurasian oystercatcher,Strandskata
